Month,Options,Chart,Last,Change,Prior Settle,Open,High,Low,Volume,Updated
"APR 2025
CLJ5",OPT,,68.98,+0.15 (+0.22%),-,69.12,69.14,68.98,171,"21:05:57 CT
15 Oct 2024"
"APR 2025
CLJ5",OPT,,68.95,+0.12 (+0.17%),-,69.12,69.14,68.95,172,"21:08:31 CT
15 Oct 2024"
"APR 2025
CLJ5",OPT,,68.95,+0.12 (+0.17%),-,69.12,69.14,68.95,172,"21:25:06 CT
15 Oct 2024"
"APR 2025
CLJ5",OPT,,68.95,+0.12 (+0.17%),-,69.12,69.14,68.95,172,"21:25:06 CT
15 Oct 2024"
"APR 2025
CLJ5",OPT,,68.95,+0.12 (+0.17%),-,69.12,69.14,68.95,173,"21:42:01 CT
15 Oct 2024"
"APR 2025
CLJ5",OPT,,68.95,+0.12 (+0.17%),-,69.12,69.14,68.95,176,"21:55:14 CT
15 Oct 2024"
"APR 2025
CLJ5",OPT,,68.95,+0.12 (+0.17%),-,69.12,69.14,68.95,176,"21:55:14 CT
15 Oct 2024"
"APR 2025
CLJ5",OPT,,68.97,+0.14 (+0.20%),-,69.12,69.14,68.95,190,"22:19:23 CT
15 Oct 2024"
"APR 2025
CLJ5",OPT,,68.97,+0.14 (+0.20%),-,69.12,69.14,68.95,190,"22:19:23 CT
15 Oct 2024"
"APR 2025
CLJ5",OPT,,68.97,+0.14 (+0.20%),-,69.12,69.14,68.95,190,"22:19:23 CT
15 Oct 2024"
"APR 2025
CLJ5",OPT,,68.97,+0.14 (+0.20%),-,69.12,69.14,68.95,190,"22:19:23 CT
15 Oct 2024"
"APR 2025
CLJ5",OPT,,68.97,+0.14 (+0.20%),-,69.12,69.14,68.95,191,"22:53:11 CT
15 Oct 2024"
"APR 2025
CLJ5",OPT,,68.97,+0.14 (+0.20%),-,69.12,69.14,68.95,191,"22:53:11 CT
15 Oct 2024"
"APR 2025
CLJ5",OPT,,68.97,+0.14 (+0.20%),-,69.12,69.14,68.95,191,"22:53:11 CT
15 Oct 2024"
"APR 2025
CLJ5",OPT,,68.97,+0.14 (+0.20%),-,69.12,69.14,68.95,191,"22:53:11 CT
15 Oct 2024"
"APR 2025
CLJ5",OPT,,68.97,+0.14 (+0.20%),-,69.12,69.14,68.95,191,"22:53:11 CT
15 Oct 2024"
"APR 2025
CLJ5",OPT,,68.97,+0.14 (+0.20%),-,69.12,69.14,68.95,191,"22:53:11 CT
15 Oct 2024"
"APR 2025
CLJ5",OPT,,68.97,+0.14 (+0.20%),-,69.12,69.14,68.95,191,"22:53:11 CT
15 Oct 2024"
"APR 2025
CLJ5",OPT,,68.97,+0.14 (+0.20%),-,69.12,69.14,68.95,191,"22:53:11 CT
15 Oct 2024"
"APR 2025
CLJ5",OPT,,68.97,+0.14 (+0.20%),68.83,69.12,69.14,68.95,191,"22:53:11 CT
15 Oct 2024"
"APR 2025
CLJ5",OPT,,68.97,+0.14 (+0.20%),68.83,69.12,69.14,68.95,191,"22:53:11 CT
15 Oct 2024"
"APR 2025
CLJ5",OPT,,68.97,+0.14 (+0.20%),68.83,69.12,69.14,68.95,193,"00:08:54 CT
16 Oct 2024"
"APR 2025
CLJ5",OPT,,68.97,+0.14 (+0.20%),68.83,69.12,69.14,68.95,193,"00:08:54 CT
16 Oct 2024"
"APR 2025
CLJ5",OPT,,68.97,+0.14 (+0.20%),68.83,69.12,69.14,68.95,196,"00:33:10 CT
16 Oct 2024"
"APR 2025
CLJ5",OPT,,68.97,+0.14 (+0.20%),68.83,69.12,69.14,68.95,196,"00:33:10 CT
16 Oct 2024"
"APR 2025
CLJ5",OPT,,68.97,+0.14 (+0.20%),68.83,69.12,69.14,68.95,205,"00:55:38 CT
16 Oct 2024"
"APR 2025
CLJ5",OPT,,68.96,+0.13 (+0.19%),68.83,69.12,69.14,68.95,206,"01:01:56 CT
16 Oct 2024"
"APR 2025
CLJ5",OPT,,68.96,+0.13 (+0.19%),68.83,69.12,69.14,68.95,207,"01:11:51 CT
16 Oct 2024"
"APR 2025
CLJ5",OPT,,68.96,+0.13 (+0.19%),68.83,69.12,69.14,68.95,208,"01:18:54 CT
16 Oct 2024"
"APR 2025
CLJ5",OPT,,68.98,+0.15 (+0.22%),68.83,69.12,69.14,68.95,218,"01:34:05 CT
16 Oct 2024"
"APR 2025
CLJ5",OPT,,68.98,+0.15 (+0.22%),68.83,69.12,69.14,68.95,244,"01:45:04 CT
16 Oct 2024"
"APR 2025
CLJ5",OPT,,69.0,+0.17 (+0.25%),68.83,69.12,69.14,68.95,265,"01:55:21 CT
16 Oct 2024"
