Month,Options,Chart,Last,Change,Prior Settle,Open,High,Low,Volume,Updated
"AUG 2025
CLQ5",OPT,,68.19,+0.13 (+0.19%),-,68.22,68.22,68.19,41,"21:04:58 CT
15 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),-,68.22,68.22,68.14,45,"21:10:03 CT
15 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),-,68.22,68.22,68.14,45,"21:23:03 CT
15 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),-,68.22,68.22,68.14,46,"21:30:19 CT
15 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),-,68.22,68.22,68.14,47,"21:44:00 CT
15 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),-,68.22,68.22,68.14,47,"21:44:00 CT
15 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),-,68.22,68.22,68.14,47,"21:44:00 CT
15 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),-,68.22,68.22,68.14,53,"22:19:23 CT
15 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),-,68.22,68.22,68.14,53,"22:19:23 CT
15 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),-,68.22,68.22,68.14,53,"22:19:23 CT
15 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),-,68.22,68.22,68.14,53,"22:19:23 CT
15 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),-,68.22,68.22,68.14,53,"22:19:23 CT
15 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),-,68.22,68.22,68.14,53,"22:19:23 CT
15 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),-,68.22,68.22,68.14,53,"22:19:23 CT
15 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),-,68.22,68.22,68.14,53,"22:19:23 CT
15 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),-,68.22,68.22,68.14,53,"22:19:23 CT
15 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),-,68.22,68.22,68.14,53,"22:19:23 CT
15 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),-,68.22,68.22,68.14,53,"22:19:23 CT
15 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),-,68.22,68.22,68.14,53,"22:19:23 CT
15 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),68.06,68.22,68.22,68.14,53,"22:19:23 CT
15 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),68.06,68.22,68.22,68.14,53,"22:19:23 CT
15 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),68.06,68.22,68.22,68.14,53,"22:19:23 CT
15 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),68.06,68.22,68.22,68.14,53,"22:19:23 CT
15 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),68.06,68.22,68.22,68.14,64,"00:34:28 CT
16 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),68.06,68.22,68.22,68.14,64,"00:34:28 CT
16 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),68.06,68.22,68.22,68.14,64,"00:34:28 CT
16 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),68.06,68.22,68.22,68.14,65,"00:58:37 CT
16 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),68.06,68.22,68.22,68.14,65,"00:58:37 CT
16 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),68.06,68.22,68.22,68.14,67,"01:26:40 CT
16 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),68.06,68.22,68.22,68.14,67,"01:26:40 CT
16 Oct 2024"
"AUG 2025
CLQ5",OPT,,68.14,+0.08 (+0.12%),68.06,68.22,68.22,68.14,74,"01:41:13 CT
16 Oct 2024"
