Month,Options,Chart,Last,Change,Prior Settle,Open,High,Low,Volume,Updated
"DEC 2025
CLZ5",OPT,,67.55,+0.08 (+0.12%),-,67.73,67.78,67.53,272,"21:07:28 CT
15 Oct 2024"
"DEC 2025
CLZ5",OPT,,67.54,+0.07 (+0.10%),-,67.73,67.78,67.53,276,"21:09:05 CT
15 Oct 2024"
"DEC 2025
CLZ5",OPT,,67.54,+0.07 (+0.10%),-,67.73,67.78,67.53,276,"21:24:00 CT
15 Oct 2024"
"DEC 2025
CLZ5",OPT,,67.57,+0.10 (+0.15%),-,67.73,67.78,67.53,290,"21:36:54 CT
15 Oct 2024"
"DEC 2025
CLZ5",OPT,,67.52,+0.05 (+0.07%),-,67.73,67.78,67.52,321,"21:47:16 CT
15 Oct 2024"
"DEC 2025
CLZ5",OPT,,67.61,+0.14 (+0.21%),-,67.73,67.78,67.52,336,"21:59:52 CT
15 Oct 2024"
"DEC 2025
CLZ5",OPT,,67.61,+0.14 (+0.21%),-,67.73,67.78,67.52,336,"21:59:52 CT
15 Oct 2024"
"DEC 2025
CLZ5",OPT,,67.57,+0.10 (+0.15%),-,67.73,67.78,67.52,349,"22:19:23 CT
15 Oct 2024"
"DEC 2025
CLZ5",OPT,,67.57,+0.10 (+0.15%),-,67.73,67.78,67.52,352,"22:25:23 CT
15 Oct 2024"
"DEC 2025
CLZ5",OPT,,67.57,+0.10 (+0.15%),-,67.73,67.78,67.52,352,"22:25:23 CT
15 Oct 2024"
"DEC 2025
CLZ5",OPT,,67.57,+0.10 (+0.15%),-,67.73,67.78,67.52,352,"22:25:23 CT
15 Oct 2024"
"DEC 2025
CLZ5",OPT,,67.57,+0.10 (+0.15%),-,67.73,67.78,67.52,359,"22:58:02 CT
15 Oct 2024"
"DEC 2025
CLZ5",OPT,,67.57,+0.10 (+0.15%),-,67.73,67.78,67.52,359,"22:58:02 CT
15 Oct 2024"
"DEC 2025
CLZ5",OPT,,67.57,+0.10 (+0.15%),-,67.73,67.78,67.52,360,"23:21:03 CT
15 Oct 2024"
"DEC 2025
CLZ5",OPT,,67.57,+0.10 (+0.15%),-,67.73,67.78,67.52,360,"23:21:03 CT
15 Oct 2024"
"DEC 2025
CLZ5",OPT,,67.62,+0.15 (+0.22%),-,67.73,67.78,67.52,370,"23:24:37 CT
15 Oct 2024"
"DEC 2025
CLZ5",OPT,,67.62,+0.15 (+0.22%),-,67.73,67.78,67.52,370,"23:24:37 CT
15 Oct 2024"
"DEC 2025
CLZ5",OPT,,67.62,+0.15 (+0.22%),-,67.73,67.78,67.52,371,"23:32:17 CT
15 Oct 2024"
"DEC 2025
CLZ5",OPT,,67.65,+0.18 (+0.27%),-,67.73,67.78,67.52,384,"23:40:35 CT
15 Oct 2024"
"DEC 2025
CLZ5",OPT,,67.68,+0.21 (+0.31%),67.47,67.73,67.78,67.52,387,"23:48:00 CT
15 Oct 2024"
"DEC 2025
CLZ5",OPT,,67.66,+0.19 (+0.28%),67.47,67.73,67.78,67.52,397,"00:02:40 CT
16 Oct 2024"
"DEC 2025
CLZ5",OPT,,67.59,+0.12 (+0.18%),67.47,67.73,67.78,67.52,408,"00:09:49 CT
16 Oct 2024"
"DEC 2025
CLZ5",OPT,,67.61,+0.14 (+0.21%),67.47,67.73,67.78,67.52,423,"00:22:53 CT
16 Oct 2024"
"DEC 2025
CLZ5",OPT,,67.53,+0.06 (+0.09%),67.47,67.73,67.78,67.52,428,"00:34:28 CT
16 Oct 2024"
"DEC 2025
CLZ5",OPT,,67.59,+0.12 (+0.18%),67.47,67.73,67.78,67.52,432,"00:38:13 CT
16 Oct 2024"
