Month,Options,Chart,Last,Change,Prior Settle,Open,High,Low,Volume,Updated
"FEB 2025
CLG5",OPT,,69.47,+0.16 (+0.23%),-,69.64,69.77,69.45,302,"21:06:33 CT
15 Oct 2024"
"FEB 2025
CLG5",OPT,,69.49,+0.18 (+0.26%),-,69.64,69.77,69.44,307,"21:10:06 CT
15 Oct 2024"
"FEB 2025
CLG5",OPT,,69.49,+0.18 (+0.26%),-,69.64,69.77,69.44,315,"21:23:04 CT
15 Oct 2024"
"FEB 2025
CLG5",OPT,,69.49,+0.18 (+0.26%),-,69.64,69.77,69.44,317,"21:35:48 CT
15 Oct 2024"
"FEB 2025
CLG5",OPT,,69.43,+0.12 (+0.17%),-,69.64,69.77,69.42,351,"21:46:21 CT
15 Oct 2024"
"FEB 2025
CLG5",OPT,,69.52,+0.21 (+0.30%),-,69.64,69.77,69.42,357,"21:56:25 CT
15 Oct 2024"
"FEB 2025
CLG5",OPT,,69.56,+0.25 (+0.36%),-,69.64,69.77,69.42,365,"22:08:40 CT
15 Oct 2024"
"FEB 2025
CLG5",OPT,,69.45,+0.14 (+0.20%),-,69.64,69.77,69.42,383,"22:19:23 CT
15 Oct 2024"
"FEB 2025
CLG5",OPT,,69.45,+0.14 (+0.20%),-,69.64,69.77,69.42,387,"22:20:44 CT
15 Oct 2024"
"FEB 2025
CLG5",OPT,,69.45,+0.14 (+0.20%),-,69.64,69.77,69.42,388,"22:38:56 CT
15 Oct 2024"
"FEB 2025
CLG5",OPT,,69.58,+0.27 (+0.39%),-,69.64,69.77,69.42,389,"22:49:56 CT
15 Oct 2024"
"FEB 2025
CLG5",OPT,,69.53,+0.22 (+0.32%),-,69.64,69.77,69.42,396,"22:57:02 CT
15 Oct 2024"
"FEB 2025
CLG5",OPT,,69.53,+0.22 (+0.32%),-,69.64,69.77,69.42,396,"22:57:02 CT
15 Oct 2024"
"FEB 2025
CLG5",OPT,,69.53,+0.22 (+0.32%),-,69.64,69.77,69.42,396,"22:57:02 CT
15 Oct 2024"
"FEB 2025
CLG5",OPT,,69.53,+0.22 (+0.32%),-,69.64,69.77,69.42,396,"22:57:02 CT
15 Oct 2024"
"FEB 2025
CLG5",OPT,,69.53,+0.22 (+0.32%),-,69.64,69.77,69.42,396,"22:57:02 CT
15 Oct 2024"
"FEB 2025
CLG5",OPT,,69.53,+0.22 (+0.32%),-,69.64,69.77,69.42,396,"22:57:02 CT
15 Oct 2024"
"FEB 2025
CLG5",OPT,,69.53,+0.22 (+0.32%),-,69.64,69.77,69.42,396,"22:57:02 CT
15 Oct 2024"
"FEB 2025
CLG5",OPT,,69.53,+0.22 (+0.32%),-,69.64,69.77,69.42,396,"22:57:02 CT
15 Oct 2024"
"FEB 2025
CLG5",OPT,,69.53,+0.22 (+0.32%),69.31,69.64,69.77,69.42,396,"22:57:02 CT
15 Oct 2024"
