Month,Options,Chart,Last,Change,Prior Settle,Open,High,Low,Volume,Updated
"JAN 2025
CLF5",OPT,,69.82,+0.18 (+0.26%),-,69.98,70.12,69.78,702,"21:06:46 CT
15 Oct 2024"
"JAN 2025
CLF5",OPT,,69.82,+0.18 (+0.26%),-,69.98,70.12,69.78,742,"21:17:32 CT
15 Oct 2024"
"JAN 2025
CLF5",OPT,,69.82,+0.18 (+0.26%),-,69.98,70.12,69.78,743,"21:24:10 CT
15 Oct 2024"
"JAN 2025
CLF5",OPT,,69.77,+0.13 (+0.19%),-,69.98,70.12,69.76,763,"21:36:06 CT
15 Oct 2024"
"JAN 2025
CLF5",OPT,,69.81,+0.17 (+0.24%),-,69.98,70.12,69.74,806,"21:47:18 CT
15 Oct 2024"
"JAN 2025
CLF5",OPT,,69.87,+0.23 (+0.33%),-,69.98,70.12,69.74,991,"21:59:57 CT
15 Oct 2024"
"JAN 2025
CLF5",OPT,,69.91,+0.27 (+0.39%),-,69.98,70.12,69.74,"1,002","22:08:35 CT
15 Oct 2024"
"JAN 2025
CLF5",OPT,,69.79,+0.15 (+0.22%),-,69.98,70.12,69.74,"1,447","22:19:33 CT
15 Oct 2024"
"JAN 2025
CLF5",OPT,,69.8,+0.16 (+0.23%),-,69.98,70.12,69.74,"1,522","22:25:56 CT
15 Oct 2024"
"JAN 2025
CLF5",OPT,,69.86,+0.22 (+0.32%),-,69.98,70.12,69.74,"1,534","22:38:56 CT
15 Oct 2024"
"JAN 2025
CLF5",OPT,,69.86,+0.22 (+0.32%),-,69.98,70.12,69.74,"1,534","22:38:56 CT
15 Oct 2024"
"JAN 2025
CLF5",OPT,,69.86,+0.22 (+0.32%),-,69.98,70.12,69.74,"1,552","22:57:25 CT
15 Oct 2024"
"JAN 2025
CLF5",OPT,,69.85,+0.21 (+0.30%),-,69.98,70.12,69.74,"1,555","23:10:25 CT
15 Oct 2024"
"JAN 2025
CLF5",OPT,,69.85,+0.21 (+0.30%),-,69.98,70.12,69.74,"1,555","23:10:25 CT
15 Oct 2024"
