Month,Options,Chart,Last,Change,Prior Settle,Open,High,Low,Volume,Updated
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,28,"20:28:21 CT
15 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,28,"20:28:21 CT
15 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,28,"21:24:00 CT
15 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,28,"21:24:00 CT
15 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,28,"21:24:00 CT
15 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,28,"21:24:00 CT
15 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,28,"21:24:00 CT
15 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,30,"22:18:41 CT
15 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,30,"22:18:41 CT
15 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,31,"22:39:45 CT
15 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,31,"22:39:45 CT
15 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,31,"22:39:45 CT
15 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,31,"22:39:45 CT
15 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,31,"22:39:45 CT
15 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,31,"22:39:45 CT
15 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,31,"22:39:45 CT
15 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,31,"22:39:45 CT
15 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,31,"22:39:45 CT
15 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,31,"22:39:45 CT
15 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,68.26,-,-,-,31,"22:39:45 CT
15 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,68.26,-,-,-,31,"22:39:45 CT
15 Oct 2024"
"JUL 2025
CLN5",OPT,,68.43,+0.17 (+0.25%),68.26,68.43,68.43,68.43,37,"00:12:50 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.43,+0.17 (+0.25%),68.26,68.43,68.43,68.43,37,"00:12:50 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.43,+0.17 (+0.25%),68.26,68.43,68.43,68.43,38,"00:33:10 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.43,+0.17 (+0.25%),68.26,68.43,68.43,68.43,40,"00:42:31 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.43,+0.17 (+0.25%),68.26,68.43,68.43,68.43,40,"00:42:31 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.36,+0.10 (+0.15%),68.26,68.43,68.43,68.36,43,"01:05:22 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.36,+0.10 (+0.15%),68.26,68.43,68.43,68.36,43,"01:05:22 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.36,+0.10 (+0.15%),68.26,68.43,68.43,68.36,44,"01:18:37 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.36,+0.10 (+0.15%),68.26,68.43,68.43,68.36,45,"01:33:32 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.36,+0.10 (+0.15%),68.26,68.43,68.43,68.36,51,"01:41:13 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.36,+0.10 (+0.15%),68.26,68.43,68.43,68.36,53,"01:48:44 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.36,+0.10 (+0.15%),68.26,68.43,68.43,68.36,58,"02:07:54 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.36,+0.10 (+0.15%),68.26,68.43,68.43,68.36,60,"02:16:40 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.36,+0.10 (+0.15%),68.26,68.43,68.43,68.36,83,"02:24:58 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.36,+0.10 (+0.15%),68.26,68.43,68.43,68.36,104,"02:35:04 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.36,+0.10 (+0.15%),68.26,68.43,68.43,68.36,106,"02:40:01 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.42,+0.16 (+0.23%),68.26,68.43,68.43,68.36,110,"02:53:13 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.26,UNCH (UNCH),68.26,68.43,68.43,68.26,115,"03:09:11 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.26,UNCH (UNCH),68.26,68.43,68.43,68.26,126,"03:13:05 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.26,UNCH (UNCH),68.26,68.43,68.43,68.26,133,"03:30:47 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.26,UNCH (UNCH),68.26,68.43,68.43,68.26,133,"03:30:47 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.26,UNCH (UNCH),68.26,68.43,68.43,68.26,133,"03:30:47 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.26,UNCH (UNCH),68.26,68.43,68.43,68.26,133,"03:30:47 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.26,UNCH (UNCH),68.26,68.43,68.43,68.26,152,"04:08:45 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.26,UNCH (UNCH),68.26,68.43,68.43,68.26,152,"04:08:45 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.26,UNCH (UNCH),68.26,68.43,68.43,68.26,163,"04:30:28 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.26,UNCH (UNCH),68.26,68.43,68.43,68.26,163,"04:30:28 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.26,UNCH (UNCH),68.26,68.43,68.43,68.26,163,"04:30:28 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.26,UNCH (UNCH),68.26,68.43,68.43,68.26,171,"05:02:26 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.26,UNCH (UNCH),68.26,68.43,68.43,68.26,188,"05:11:12 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.26,UNCH (UNCH),68.26,68.43,68.43,68.26,188,"05:11:12 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.26,UNCH (UNCH),68.26,68.43,68.43,68.26,191,"05:31:18 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.98,-0.28 (-0.41%),68.26,68.43,68.43,67.98,193,"05:42:19 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.98,-0.28 (-0.41%),68.26,68.43,68.43,67.98,194,"05:53:07 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.98,-0.28 (-0.41%),68.26,68.43,68.43,67.98,194,"05:53:07 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.98,-0.28 (-0.41%),68.26,68.43,68.43,67.98,198,"06:16:18 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.98,-0.28 (-0.41%),68.26,68.43,68.43,67.98,211,"06:25:55 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.98,-0.28 (-0.41%),68.26,68.43,68.43,67.98,211,"06:25:55 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.98,-0.28 (-0.41%),68.26,68.43,68.43,67.98,211,"06:25:55 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.98,-0.28 (-0.41%),68.26,68.43,68.43,67.98,221,"06:53:40 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.98,-0.28 (-0.41%),68.26,68.43,68.43,67.98,224,"07:06:53 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.98,-0.28 (-0.41%),68.26,68.43,68.43,67.98,280,"07:14:33 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.98,-0.28 (-0.41%),68.26,68.43,68.43,67.98,284,"07:28:57 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.98,-0.28 (-0.41%),68.26,68.43,68.43,67.98,291,"07:39:44 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.98,-0.28 (-0.41%),68.26,68.43,68.43,67.98,314,"07:49:32 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.98,-0.28 (-0.41%),68.26,68.43,68.43,67.98,327,"07:57:10 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.98,-0.28 (-0.41%),68.26,68.43,68.43,67.98,445,"08:10:36 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.98,-0.28 (-0.41%),68.26,68.43,68.43,67.98,449,"08:18:44 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.98,-0.28 (-0.41%),68.26,68.43,68.43,67.98,454,"08:29:35 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.16,-0.10 (-0.15%),68.26,68.43,68.43,67.98,488,"08:36:52 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.93,-0.33 (-0.48%),68.26,68.43,68.43,67.93,526,"08:50:47 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.93,-0.33 (-0.48%),68.26,68.43,68.43,67.93,586,"09:01:18 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.93,-0.33 (-0.48%),68.26,68.43,68.43,67.93,618,"09:07:27 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.93,-0.33 (-0.48%),68.26,68.43,68.43,67.93,718,"09:22:47 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.14,-0.12 (-0.18%),68.26,68.43,68.43,67.93,782,"09:32:34 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.14,-0.12 (-0.18%),68.26,68.43,68.43,67.93,878,"09:43:50 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.14,-0.12 (-0.18%),68.26,68.43,68.43,67.93,"1,362","09:53:11 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.97,-0.29 (-0.42%),68.26,68.43,68.43,67.93,"1,464","10:03:57 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.97,-0.29 (-0.42%),68.26,68.43,68.43,67.93,"1,591","10:12:27 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.56,-0.70 (-1.03%),68.26,68.43,68.43,67.56,"1,890","10:24:18 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.67,-0.59 (-0.86%),68.26,68.43,68.43,67.56,"2,142","10:34:23 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.67,-0.59 (-0.86%),68.26,68.43,68.43,67.56,"2,355","10:43:16 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.67,-0.59 (-0.86%),68.26,68.43,68.43,67.56,"2,393","10:52:51 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.67,-0.59 (-0.86%),68.26,68.43,68.43,67.56,"2,415","11:04:08 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.10,-0.16 (-0.23%),68.26,68.43,68.43,67.56,"2,430","11:15:56 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.05,-0.21 (-0.31%),68.26,68.43,68.43,67.56,"2,453","11:25:33 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.00,-0.26 (-0.38%),68.26,68.43,68.43,67.56,"2,472","11:33:25 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.97,-0.29 (-0.42%),68.26,68.43,68.43,67.56,"2,521","11:41:33 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.96,-0.30 (-0.44%),68.26,68.43,68.43,67.56,"2,592","11:57:30 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.94,-0.32 (-0.47%),68.26,68.43,68.43,67.56,"2,621","12:07:34 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.94,-0.32 (-0.47%),68.26,68.43,68.43,67.56,"2,663","12:18:05 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.94,-0.32 (-0.47%),68.26,68.43,68.43,67.56,"2,665","12:27:39 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.94,-0.32 (-0.47%),68.26,68.43,68.43,67.56,"2,672","12:37:10 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.94,-0.32 (-0.47%),68.26,68.43,68.43,67.56,"2,679","12:49:25 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,67.94,-0.32 (-0.47%),68.26,68.43,68.43,67.56,"2,684","12:53:50 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.11,-0.15 (-0.22%),68.26,68.43,68.43,67.56,"2,693","13:07:57 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.11,-0.15 (-0.22%),68.26,68.43,68.43,67.56,"2,941","13:20:45 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.11,-0.15 (-0.22%),68.26,68.43,68.43,67.56,"3,480","13:29:59 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.11,-0.15 (-0.22%),68.26,68.43,68.43,67.56,"3,495","13:38:16 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.11,-0.15 (-0.22%),68.26,68.43,68.43,67.56,"3,999","13:46:17 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.11,-0.15 (-0.22%),68.26,68.43,68.43,67.56,"4,000","13:57:38 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.11,-0.15 (-0.22%),68.26,68.43,68.43,67.56,"4,000","13:57:38 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.11,-0.15 (-0.22%),68.26,68.43,68.43,67.56,"4,000","13:57:38 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.11,-0.15 (-0.22%),68.26,68.43,68.43,67.56,"4,000","13:57:38 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.11,-0.15 (-0.22%),68.26,68.43,68.43,67.56,"4,000","13:57:38 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.11,-0.15 (-0.22%),68.26,68.43,68.43,67.56,"4,001","14:44:33 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.11,-0.15 (-0.22%),68.26,68.43,68.43,67.56,"4,003","14:59:24 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.11,-0.15 (-0.22%),68.26,68.43,68.43,67.56,"4,010","15:15:17 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.11,-0.15 (-0.22%),68.26,68.43,68.43,67.56,"4,020","15:26:22 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.11,-0.15 (-0.22%),68.26,68.43,68.43,67.56,"4,159","15:36:46 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.11,-0.15 (-0.22%),68.26,68.43,68.43,67.56,"4,327","15:42:05 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.11,-0.15 (-0.22%),-,68.43,68.43,67.56,"4,327","15:42:05 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.11,-0.15 (-0.22%),-,68.43,68.43,67.56,"4,327","15:42:05 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.11,-0.15 (-0.22%),-,68.43,68.43,67.56,"4,327","15:42:05 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.11,-0.15 (-0.22%),-,68.43,68.43,67.56,"4,327","15:42:05 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.11,-0.15 (-0.22%),-,68.43,68.43,67.56,"4,327","16:37:50 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,0,"16:37:50 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,0,"16:59:02 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,0,"17:02:02 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,0,"17:02:02 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,0,"17:02:02 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,0,"17:02:02 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,0,"17:02:02 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,0,"17:57:20 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,0,"17:57:20 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,-,-,-,-,-,-,0,"17:57:20 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.23,+0.29 (+0.43%),-,68.23,68.23,68.23,1,"18:30:49 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.27,+0.33 (+0.49%),-,68.23,68.27,68.23,3,"18:35:38 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.27,+0.33 (+0.49%),-,68.23,68.27,68.23,3,"18:35:38 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.27,+0.33 (+0.49%),-,68.23,68.27,68.23,6,"19:05:43 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.27,+0.33 (+0.49%),-,68.23,68.27,68.23,6,"19:05:43 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.27,+0.33 (+0.49%),-,68.23,68.27,68.23,6,"19:05:43 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.27,+0.33 (+0.49%),-,68.23,68.27,68.23,14,"19:32:41 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.27,+0.33 (+0.49%),-,68.23,68.27,68.23,14,"19:32:41 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.27,+0.33 (+0.49%),-,68.23,68.27,68.23,14,"19:32:41 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.27,+0.33 (+0.49%),-,68.23,68.27,68.23,19,"20:04:31 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.27,+0.33 (+0.49%),-,68.23,68.27,68.23,19,"20:04:31 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.27,+0.33 (+0.49%),-,68.23,68.27,68.23,20,"20:29:08 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.27,+0.33 (+0.49%),-,68.23,68.27,68.23,21,"20:38:26 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.27,+0.33 (+0.49%),-,68.23,68.27,68.23,21,"20:38:26 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.27,+0.33 (+0.49%),-,68.23,68.27,68.23,21,"20:38:26 CT
16 Oct 2024"
"JUL 2025
CLN5",OPT,,68.27,+0.33 (+0.49%),-,68.23,68.27,68.23,24,"21:11:47 CT
16 Oct 2024"
