Month,Options,Chart,Last,Change,Prior Settle,Open,High,Low,Volume,Updated
"JUN 2025
CLM5",OPT,,68.58,+0.13 (+0.19%),-,68.75,68.82,68.54,364,"21:07:50 CT
15 Oct 2024"
"JUN 2025
CLM5",OPT,,68.56,+0.11 (+0.16%),-,68.75,68.82,68.54,372,"21:10:08 CT
15 Oct 2024"
"JUN 2025
CLM5",OPT,,68.58,+0.13 (+0.19%),-,68.75,68.82,68.54,373,"21:23:35 CT
15 Oct 2024"
"JUN 2025
CLM5",OPT,,68.56,+0.11 (+0.16%),-,68.75,68.82,68.54,388,"21:35:30 CT
15 Oct 2024"
"JUN 2025
CLM5",OPT,,68.55,+0.10 (+0.15%),-,68.75,68.82,68.54,403,"21:45:54 CT
15 Oct 2024"
"JUN 2025
CLM5",OPT,,68.55,+0.10 (+0.15%),-,68.75,68.82,68.54,414,"21:56:36 CT
15 Oct 2024"
"JUN 2025
CLM5",OPT,,68.55,+0.10 (+0.15%),-,68.75,68.82,68.54,414,"21:56:36 CT
15 Oct 2024"
"JUN 2025
CLM5",OPT,,68.6,+0.15 (+0.22%),-,68.75,68.82,68.54,459,"22:19:23 CT
15 Oct 2024"
"JUN 2025
CLM5",OPT,,68.6,+0.15 (+0.22%),-,68.75,68.82,68.54,462,"22:21:35 CT
15 Oct 2024"
"JUN 2025
CLM5",OPT,,68.6,+0.15 (+0.22%),-,68.75,68.82,68.54,462,"22:21:35 CT
15 Oct 2024"
"JUN 2025
CLM5",OPT,,68.6,+0.15 (+0.22%),-,68.75,68.82,68.54,462,"22:21:35 CT
15 Oct 2024"
"JUN 2025
CLM5",OPT,,68.64,+0.19 (+0.28%),-,68.75,68.82,68.54,472,"23:01:37 CT
15 Oct 2024"
"JUN 2025
CLM5",OPT,,68.64,+0.19 (+0.28%),-,68.75,68.82,68.54,485,"23:11:18 CT
15 Oct 2024"
"JUN 2025
CLM5",OPT,,68.64,+0.19 (+0.28%),-,68.75,68.82,68.54,485,"23:11:18 CT
15 Oct 2024"
"JUN 2025
CLM5",OPT,,68.64,+0.19 (+0.28%),-,68.75,68.82,68.54,485,"23:11:18 CT
15 Oct 2024"
"JUN 2025
CLM5",OPT,,68.64,+0.19 (+0.28%),-,68.75,68.82,68.54,485,"23:11:18 CT
15 Oct 2024"
"JUN 2025
CLM5",OPT,,68.64,+0.19 (+0.28%),-,68.75,68.82,68.54,485,"23:11:18 CT
15 Oct 2024"
"JUN 2025
CLM5",OPT,,68.64,+0.19 (+0.28%),-,68.75,68.82,68.54,485,"23:11:18 CT
15 Oct 2024"
