Month,Options,Chart,Last,Change,Prior Settle,Open,High,Low,Volume,Updated
"MAR 2025
CLH5",OPT,,69.2,+0.15 (+0.22%),-,69.5,69.5,69.2,419,"21:07:28 CT
15 Oct 2024"
"MAR 2025
CLH5",OPT,,69.19,+0.14 (+0.20%),-,69.5,69.5,69.19,421,"21:10:03 CT
15 Oct 2024"
"MAR 2025
CLH5",OPT,,69.19,+0.14 (+0.20%),-,69.5,69.5,69.19,421,"21:24:05 CT
15 Oct 2024"
"MAR 2025
CLH5",OPT,,69.19,+0.14 (+0.20%),-,69.5,69.5,69.18,429,"21:35:30 CT
15 Oct 2024"
"MAR 2025
CLH5",OPT,,69.15,+0.10 (+0.14%),-,69.5,69.5,69.15,440,"21:45:56 CT
15 Oct 2024"
"MAR 2025
CLH5",OPT,,69.17,+0.12 (+0.17%),-,69.5,69.5,69.15,456,"21:55:09 CT
15 Oct 2024"
"MAR 2025
CLH5",OPT,,69.26,+0.21 (+0.30%),-,69.5,69.5,69.15,461,"22:09:50 CT
15 Oct 2024"
"MAR 2025
CLH5",OPT,,69.18,+0.13 (+0.19%),-,69.5,69.5,69.15,485,"22:19:23 CT
15 Oct 2024"
"MAR 2025
CLH5",OPT,,69.17,+0.12 (+0.17%),-,69.5,69.5,69.15,490,"22:29:54 CT
15 Oct 2024"
"MAR 2025
CLH5",OPT,,69.21,+0.16 (+0.23%),-,69.5,69.5,69.15,495,"22:40:27 CT
15 Oct 2024"
"MAR 2025
CLH5",OPT,,69.28,+0.23 (+0.33%),-,69.5,69.5,69.15,499,"22:47:10 CT
15 Oct 2024"
"MAR 2025
CLH5",OPT,,69.26,+0.21 (+0.30%),-,69.5,69.5,69.15,504,"22:57:02 CT
15 Oct 2024"
"MAR 2025
CLH5",OPT,,69.25,+0.20 (+0.29%),-,69.5,69.5,69.15,505,"23:03:48 CT
15 Oct 2024"
"MAR 2025
CLH5",OPT,,69.23,+0.18 (+0.26%),-,69.5,69.5,69.15,507,"23:18:09 CT
15 Oct 2024"
"MAR 2025
CLH5",OPT,,69.23,+0.18 (+0.26%),-,69.5,69.5,69.15,507,"23:18:09 CT
15 Oct 2024"
"MAR 2025
CLH5",OPT,,69.23,+0.18 (+0.26%),-,69.5,69.5,69.15,507,"23:18:09 CT
15 Oct 2024"
"MAR 2025
CLH5",OPT,,69.23,+0.18 (+0.26%),-,69.5,69.5,69.15,507,"23:18:09 CT
15 Oct 2024"
"MAR 2025
CLH5",OPT,,69.23,+0.18 (+0.26%),-,69.5,69.5,69.15,507,"23:18:09 CT
15 Oct 2024"
"MAR 2025
CLH5",OPT,,69.23,+0.18 (+0.26%),-,69.5,69.5,69.15,508,"23:35:28 CT
15 Oct 2024"
"MAR 2025
CLH5",OPT,,69.31,+0.26 (+0.38%),69.05,69.5,69.5,69.15,509,"23:46:16 CT
15 Oct 2024"
"MAR 2025
CLH5",OPT,,69.31,+0.26 (+0.38%),69.05,69.5,69.5,69.15,509,"23:46:16 CT
15 Oct 2024"
"MAR 2025
CLH5",OPT,,69.31,+0.26 (+0.38%),69.05,69.5,69.5,69.15,510,"00:08:11 CT
16 Oct 2024"
"MAR 2025
CLH5",OPT,,69.23,+0.18 (+0.26%),69.05,69.5,69.5,69.15,513,"00:18:11 CT
16 Oct 2024"
"MAR 2025
CLH5",OPT,,69.18,+0.13 (+0.19%),69.05,69.5,69.5,69.15,515,"00:33:53 CT
16 Oct 2024"
"MAR 2025
CLH5",OPT,,69.28,+0.23 (+0.33%),69.05,69.5,69.5,69.15,533,"00:44:29 CT
16 Oct 2024"
