Month,Options,Chart,Last,Change,Prior Settle,Open,High,Low,Volume,Updated
"MAY 2025
CLK5",OPT,,68.76,+0.12 (+0.17%),-,68.88,69.03,68.76,43,"21:06:22 CT
15 Oct 2024"
"MAY 2025
CLK5",OPT,,68.76,+0.12 (+0.17%),-,68.88,69.03,68.76,44,"21:09:05 CT
15 Oct 2024"
"MAY 2025
CLK5",OPT,,68.76,+0.12 (+0.17%),-,68.88,69.03,68.76,44,"21:23:35 CT
15 Oct 2024"
"MAY 2025
CLK5",OPT,,68.76,+0.12 (+0.17%),-,68.88,69.03,68.76,44,"21:23:35 CT
15 Oct 2024"
"MAY 2025
CLK5",OPT,,68.72,+0.08 (+0.12%),-,68.88,69.03,68.72,45,"21:41:12 CT
15 Oct 2024"
"MAY 2025
CLK5",OPT,,68.72,+0.08 (+0.12%),-,68.88,69.03,68.72,45,"21:41:12 CT
15 Oct 2024"
"MAY 2025
CLK5",OPT,,68.72,+0.08 (+0.12%),-,68.88,69.03,68.72,46,"22:08:35 CT
15 Oct 2024"
"MAY 2025
CLK5",OPT,,68.76,+0.12 (+0.17%),-,68.88,69.03,68.72,51,"22:19:23 CT
15 Oct 2024"
"MAY 2025
CLK5",OPT,,68.78,+0.14 (+0.20%),-,68.88,69.03,68.72,53,"22:20:04 CT
15 Oct 2024"
"MAY 2025
CLK5",OPT,,68.8,+0.16 (+0.23%),-,68.88,69.03,68.72,54,"22:36:15 CT
15 Oct 2024"
"MAY 2025
CLK5",OPT,,68.8,+0.16 (+0.23%),-,68.88,69.03,68.72,54,"22:36:15 CT
15 Oct 2024"
"MAY 2025
CLK5",OPT,,68.8,+0.16 (+0.23%),-,68.88,69.03,68.72,54,"22:36:15 CT
15 Oct 2024"
"MAY 2025
CLK5",OPT,,68.8,+0.16 (+0.23%),-,68.88,69.03,68.72,54,"22:36:15 CT
15 Oct 2024"
"MAY 2025
CLK5",OPT,,68.8,+0.16 (+0.23%),-,68.88,69.03,68.72,54,"22:36:15 CT
15 Oct 2024"
"MAY 2025
CLK5",OPT,,68.8,+0.16 (+0.23%),-,68.88,69.03,68.72,54,"22:36:15 CT
15 Oct 2024"
"MAY 2025
CLK5",OPT,,68.8,+0.16 (+0.23%),-,68.88,69.03,68.72,54,"22:36:15 CT
15 Oct 2024"
"MAY 2025
CLK5",OPT,,68.8,+0.16 (+0.23%),-,68.88,69.03,68.72,54,"22:36:15 CT
15 Oct 2024"
"MAY 2025
CLK5",OPT,,68.8,+0.16 (+0.23%),-,68.88,69.03,68.72,54,"22:36:15 CT
15 Oct 2024"
"MAY 2025
CLK5",OPT,,68.8,+0.16 (+0.23%),-,68.88,69.03,68.72,54,"22:36:15 CT
15 Oct 2024"
"MAY 2025
CLK5",OPT,,68.8,+0.16 (+0.23%),68.64,68.88,69.03,68.72,54,"22:36:15 CT
15 Oct 2024"
"MAY 2025
CLK5",OPT,,68.8,+0.16 (+0.23%),68.64,68.88,69.03,68.72,54,"22:36:15 CT
15 Oct 2024"
"MAY 2025
CLK5",OPT,,68.83,+0.19 (+0.28%),68.64,68.88,69.03,68.72,57,"00:12:50 CT
16 Oct 2024"
"MAY 2025
CLK5",OPT,,68.82,+0.18 (+0.26%),68.64,68.88,69.03,68.72,59,"00:22:53 CT
16 Oct 2024"
"MAY 2025
CLK5",OPT,,68.82,+0.18 (+0.26%),68.64,68.88,69.03,68.72,62,"00:30:02 CT
16 Oct 2024"
"MAY 2025
CLK5",OPT,,68.82,+0.18 (+0.26%),68.64,68.88,69.03,68.72,62,"00:30:02 CT
16 Oct 2024"
"MAY 2025
CLK5",OPT,,68.82,+0.18 (+0.26%),68.64,68.88,69.03,68.72,71,"00:55:38 CT
16 Oct 2024"
"MAY 2025
CLK5",OPT,,68.82,+0.18 (+0.26%),68.64,68.88,69.03,68.72,71,"00:55:38 CT
16 Oct 2024"
"MAY 2025
CLK5",OPT,,68.7,+0.06 (+0.09%),68.64,68.88,69.03,68.7,72,"01:11:51 CT
16 Oct 2024"
"MAY 2025
CLK5",OPT,,68.7,+0.06 (+0.09%),68.64,68.88,69.03,68.7,73,"01:26:40 CT
16 Oct 2024"
"MAY 2025
CLK5",OPT,,68.7,+0.06 (+0.09%),68.64,68.88,69.03,68.7,73,"01:26:40 CT
16 Oct 2024"
"MAY 2025
CLK5",OPT,,68.82,+0.18 (+0.26%),68.64,68.88,69.03,68.7,99,"01:45:04 CT
16 Oct 2024"
"MAY 2025
CLK5",OPT,,68.82,+0.18 (+0.26%),68.64,68.88,69.03,68.7,100,"01:54:15 CT
16 Oct 2024"
"MAY 2025
CLK5",OPT,,68.94,+0.30 (+0.44%),68.64,68.88,69.03,68.7,117,"02:07:35 CT
16 Oct 2024"
"MAY 2025
CLK5",OPT,,68.97,+0.33 (+0.48%),68.64,68.88,69.03,68.7,156,"02:16:06 CT
16 Oct 2024"
"MAY 2025
CLK5",OPT,,69.09,+0.45 (+0.66%),68.64,68.88,69.13,68.7,159,"02:22:53 CT
16 Oct 2024"
"MAY 2025
CLK5",OPT,,68.95,+0.31 (+0.45%),68.64,68.88,69.16,68.7,252,"02:36:45 CT
16 Oct 2024"
"MAY 2025
CLK5",OPT,,68.95,+0.31 (+0.45%),68.64,68.88,69.16,68.7,267,"02:49:30 CT
16 Oct 2024"
"MAY 2025
CLK5",OPT,,68.7,+0.06 (+0.09%),68.64,68.88,69.16,68.7,306,"02:59:01 CT
16 Oct 2024"
"MAY 2025
CLK5",OPT,,68.83,+0.19 (+0.28%),68.64,68.88,69.16,68.62,354,"03:08:33 CT
16 Oct 2024"
"MAY 2025
CLK5",OPT,,68.77,+0.13 (+0.19%),68.64,68.88,69.16,68.62,425,"03:17:59 CT
16 Oct 2024"
"MAY 2025
CLK5",OPT,,68.77,+0.13 (+0.19%),68.64,68.88,69.16,68.62,465,"03:29:15 CT
16 Oct 2024"
"MAY 2025
CLK5",OPT,,68.6,-0.04 (-0.06%),68.64,68.88,69.16,68.6,466,"03:32:15 CT
16 Oct 2024"
"MAY 2025
CLK5",OPT,,68.53,-0.11 (-0.16%),68.64,68.88,69.16,68.47,472,"03:48:55 CT
16 Oct 2024"
"MAY 2025
CLK5",OPT,,68.58,-0.06 (-0.09%),68.64,68.88,69.16,68.47,477,"03:55:42 CT
16 Oct 2024"
"MAY 2025
CLK5",OPT,,68.66,+0.02 (+0.03%),68.64,68.88,69.16,68.47,540,"04:11:21 CT
16 Oct 2024"
