Month,Options,Chart,Last,Change,Prior Settle,Open,High,Low,Volume,Updated
"NOV 2024
CLX4",OPT,,70.82,+0.24 (+0.34%),-,70.99,71.14,70.75,"6,132","21:07:50 CT
15 Oct 2024"
"NOV 2024
CLX4",OPT,,70.8,+0.22 (+0.31%),-,70.99,71.14,70.75,"6,453","21:18:59 CT
15 Oct 2024"
"NOV 2024
CLX4",OPT,,70.81,+0.23 (+0.33%),-,70.99,71.14,70.75,"6,537","21:28:41 CT
15 Oct 2024"
"NOV 2024
CLX4",OPT,,70.81,+0.23 (+0.33%),-,70.99,71.14,70.75,"6,923","21:39:56 CT
15 Oct 2024"
"NOV 2024
CLX4",OPT,,70.79,+0.21 (+0.30%),-,70.99,71.14,70.73,"7,807","21:48:55 CT
15 Oct 2024"
"NOV 2024
CLX4",OPT,,70.86,+0.28 (+0.40%),-,70.99,71.14,70.73,"8,297","21:59:57 CT
15 Oct 2024"
"NOV 2024
CLX4",OPT,,70.87,+0.29 (+0.41%),-,70.99,71.14,70.73,"8,572","22:09:56 CT
15 Oct 2024"
"NOV 2024
CLX4",OPT,,70.77,+0.19 (+0.27%),-,70.99,71.14,70.73,"9,112","22:19:53 CT
15 Oct 2024"
"NOV 2024
CLX4",OPT,,70.77,+0.19 (+0.27%),-,70.99,71.14,70.73,"9,421","22:30:54 CT
15 Oct 2024"
"NOV 2024
CLX4",OPT,,70.86,+0.28 (+0.40%),-,70.99,71.14,70.73,"9,590","22:41:36 CT
15 Oct 2024"
"NOV 2024
CLX4",OPT,,70.87,+0.29 (+0.41%),-,70.99,71.14,70.73,"9,664","22:51:50 CT
15 Oct 2024"
"NOV 2024
CLX4",OPT,,70.84,+0.26 (+0.37%),-,70.99,71.14,70.73,"9,832","23:01:37 CT
15 Oct 2024"
"NOV 2024
CLX4",OPT,,70.82,+0.24 (+0.34%),-,70.99,71.14,70.73,"9,917","23:11:43 CT
15 Oct 2024"
"NOV 2024
CLX4",OPT,,70.82,+0.24 (+0.34%),-,70.99,71.14,70.73,"10,050","23:21:55 CT
15 Oct 2024"
"NOV 2024
CLX4",OPT,,70.83,+0.25 (+0.35%),-,70.99,71.14,70.73,"10,053","23:22:49 CT
15 Oct 2024"
"NOV 2024
CLX4",OPT,,70.83,+0.25 (+0.35%),-,70.99,71.14,70.73,"10,067","23:27:27 CT
15 Oct 2024"
"NOV 2024
CLX4",OPT,,70.84,+0.26 (+0.37%),-,70.99,71.14,70.73,"10,071","23:28:48 CT
15 Oct 2024"
"NOV 2024
CLX4",OPT,,70.85,+0.27 (+0.38%),-,70.99,71.14,70.73,"10,086","23:32:56 CT
15 Oct 2024"
"NOV 2024
CLX4",OPT,,70.88,+0.30 (+0.43%),-,70.99,71.14,70.73,"10,212","23:43:02 CT
15 Oct 2024"
"NOV 2024
CLX4",OPT,,70.88,+0.30 (+0.43%),70.58,70.99,71.14,70.73,"10,289","23:53:23 CT
15 Oct 2024"
"NOV 2024
CLX4",OPT,,70.89,+0.31 (+0.44%),70.58,70.99,71.14,70.73,"10,372","00:03:55 CT
16 Oct 2024"
"NOV 2024
CLX4",OPT,,70.83,+0.25 (+0.35%),70.58,70.99,71.14,70.73,"10,451","00:14:29 CT
16 Oct 2024"
"NOV 2024
CLX4",OPT,,70.84,+0.26 (+0.37%),70.58,70.99,71.14,70.73,"10,609","00:24:56 CT
16 Oct 2024"
"NOV 2024
CLX4",OPT,,70.76,+0.18 (+0.26%),70.58,70.99,71.14,70.72,"11,034","00:34:53 CT
16 Oct 2024"
"NOV 2024
CLX4",OPT,,70.88,+0.30 (+0.43%),70.58,70.99,71.14,70.72,"11,377","00:44:58 CT
16 Oct 2024"
"NOV 2024
CLX4",OPT,,70.85,+0.27 (+0.38%),70.58,70.99,71.14,70.72,"11,611","00:55:46 CT
16 Oct 2024"
"NOV 2024
CLX4",OPT,,70.8,+0.22 (+0.31%),70.58,70.99,71.14,70.72,"11,897","01:05:47 CT
16 Oct 2024"
"NOV 2024
CLX4",OPT,,70.74,+0.16 (+0.23%),70.58,70.99,71.14,70.69,"12,296","01:15:59 CT
16 Oct 2024"
"NOV 2024
CLX4",OPT,,70.82,+0.24 (+0.34%),70.58,70.99,71.14,70.69,"12,593","01:26:41 CT
16 Oct 2024"
"NOV 2024
CLX4",OPT,,70.82,+0.24 (+0.34%),70.58,70.99,71.14,70.69,"12,852","01:36:57 CT
16 Oct 2024"
"NOV 2024
CLX4",OPT,,70.79,+0.21 (+0.30%),70.58,70.99,71.14,70.69,"13,315","01:46:56 CT
16 Oct 2024"
"NOV 2024
CLX4",OPT,,70.78,+0.20 (+0.28%),70.58,70.99,71.14,70.69,"13,688","01:56:56 CT
16 Oct 2024"
"NOV 2024
CLX4",OPT,,71.03,+0.45 (+0.64%),70.58,70.99,71.14,70.69,"14,912","02:08:59 CT
16 Oct 2024"
"NOV 2024
CLX4",OPT,,71.07,+0.49 (+0.69%),70.58,70.99,71.14,70.69,"15,878","02:18:58 CT
16 Oct 2024"
"NOV 2024
CLX4",OPT,,71.21,+0.63 (+0.89%),70.58,70.99,71.24,70.69,"17,128","02:28:59 CT
16 Oct 2024"
"NOV 2024
CLX4",OPT,,70.93,+0.35 (+0.50%),70.58,70.99,71.31,70.69,"19,949","02:38:59 CT
16 Oct 2024"
"NOV 2024
CLX4",OPT,,70.81,+0.23 (+0.33%),70.58,70.99,71.31,70.69,"21,084","02:49:58 CT
16 Oct 2024"
