Month,Options,Chart,Last,Change,Prior Settle,Open,High,Low,Volume,Updated
"OCT 2025
CLV5",OPT,,67.97,+0.25 (+0.37%),-,67.94,68.03,67.9,113,"20:28:21 CT
15 Oct 2024"
"OCT 2025
CLV5",OPT,,67.97,+0.25 (+0.37%),-,67.94,68.03,67.9,113,"20:28:21 CT
15 Oct 2024"
"OCT 2025
CLV5",OPT,,67.97,+0.25 (+0.37%),-,67.94,68.03,67.9,113,"21:24:13 CT
15 Oct 2024"
"OCT 2025
CLV5",OPT,,67.97,+0.25 (+0.37%),-,67.94,68.03,67.9,113,"21:24:13 CT
15 Oct 2024"
"OCT 2025
CLV5",OPT,,67.97,+0.25 (+0.37%),-,67.94,68.03,67.9,113,"21:24:13 CT
15 Oct 2024"
"OCT 2025
CLV5",OPT,,67.97,+0.25 (+0.37%),-,67.94,68.03,67.9,113,"21:24:13 CT
15 Oct 2024"
"OCT 2025
CLV5",OPT,,67.97,+0.25 (+0.37%),-,67.94,68.03,67.9,113,"21:24:13 CT
15 Oct 2024"
"OCT 2025
CLV5",OPT,,67.97,+0.25 (+0.37%),-,67.94,68.03,67.9,113,"21:24:13 CT
15 Oct 2024"
"OCT 2025
CLV5",OPT,,67.97,+0.25 (+0.37%),-,67.94,68.03,67.9,113,"21:24:13 CT
15 Oct 2024"
"OCT 2025
CLV5",OPT,,67.97,+0.25 (+0.37%),-,67.94,68.03,67.9,113,"21:24:13 CT
15 Oct 2024"
"OCT 2025
CLV5",OPT,,67.97,+0.25 (+0.37%),-,67.94,68.03,67.9,113,"21:24:13 CT
15 Oct 2024"
"OCT 2025
CLV5",OPT,,67.97,+0.25 (+0.37%),-,67.94,68.03,67.9,113,"21:24:13 CT
15 Oct 2024"
"OCT 2025
CLV5",OPT,,67.97,+0.25 (+0.37%),-,67.94,68.03,67.9,113,"21:24:13 CT
15 Oct 2024"
"OCT 2025
CLV5",OPT,,67.97,+0.25 (+0.37%),-,67.94,68.03,67.9,113,"21:24:13 CT
15 Oct 2024"
"OCT 2025
CLV5",OPT,,67.97,+0.25 (+0.37%),-,67.94,68.03,67.9,113,"21:24:13 CT
15 Oct 2024"
"OCT 2025
CLV5",OPT,,67.97,+0.25 (+0.37%),-,67.94,68.03,67.9,113,"21:24:13 CT
15 Oct 2024"
"OCT 2025
CLV5",OPT,,67.97,+0.25 (+0.37%),-,67.94,68.03,67.9,113,"21:24:13 CT
15 Oct 2024"
"OCT 2025
CLV5",OPT,,67.97,+0.25 (+0.37%),-,67.94,68.03,67.9,113,"21:24:13 CT
15 Oct 2024"
"OCT 2025
CLV5",OPT,,67.97,+0.25 (+0.37%),-,67.94,68.03,67.9,113,"21:24:13 CT
15 Oct 2024"
"OCT 2025
CLV5",OPT,,67.97,+0.25 (+0.37%),67.72,67.94,68.03,67.9,113,"21:24:13 CT
15 Oct 2024"
"OCT 2025
CLV5",OPT,,67.97,+0.25 (+0.37%),67.72,67.94,68.03,67.9,113,"21:24:13 CT
15 Oct 2024"
"OCT 2025
CLV5",OPT,,67.84,+0.12 (+0.18%),67.72,67.94,68.03,67.84,118,"00:09:15 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.84,+0.12 (+0.18%),67.72,67.94,68.03,67.84,118,"00:09:15 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.84,+0.12 (+0.18%),67.72,67.94,68.03,67.84,118,"00:09:15 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.84,+0.12 (+0.18%),67.72,67.94,68.03,67.84,118,"00:09:15 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.84,+0.12 (+0.18%),67.72,67.94,68.03,67.84,118,"00:09:15 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.84,+0.12 (+0.18%),67.72,67.94,68.03,67.84,119,"00:58:37 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.84,+0.12 (+0.18%),67.72,67.94,68.03,67.84,119,"00:58:37 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.84,+0.12 (+0.18%),67.72,67.94,68.03,67.84,119,"00:58:37 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.84,+0.12 (+0.18%),67.72,67.94,68.03,67.84,119,"00:58:37 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.84,+0.12 (+0.18%),67.72,67.94,68.03,67.84,119,"00:58:37 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.84,+0.12 (+0.18%),67.72,67.94,68.03,67.84,119,"00:58:37 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.84,+0.12 (+0.18%),67.72,67.94,68.03,67.84,119,"00:58:37 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.84,+0.12 (+0.18%),67.72,67.94,68.03,67.84,119,"00:58:37 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.84,+0.12 (+0.18%),67.72,67.94,68.03,67.84,124,"02:19:18 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.84,+0.12 (+0.18%),67.72,67.94,68.03,67.84,124,"02:19:18 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.84,+0.12 (+0.18%),67.72,67.94,68.03,67.84,125,"02:42:28 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.84,+0.12 (+0.18%),67.72,67.94,68.03,67.84,125,"02:42:28 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.71,-0.01 (-0.01%),67.72,67.94,68.03,67.71,126,"03:03:59 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.71,-0.01 (-0.01%),67.72,67.94,68.03,67.71,130,"03:10:40 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.59,-0.13 (-0.19%),67.72,67.94,68.03,67.59,163,"03:30:47 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.59,-0.13 (-0.19%),67.72,67.94,68.03,67.59,163,"03:30:47 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.59,-0.13 (-0.19%),67.72,67.94,68.03,67.59,163,"03:30:47 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.59,-0.13 (-0.19%),67.72,67.94,68.03,67.59,163,"03:30:47 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.59,-0.13 (-0.19%),67.72,67.94,68.03,67.59,163,"03:30:47 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.59,-0.13 (-0.19%),67.72,67.94,68.03,67.59,163,"03:30:47 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.6,-0.12 (-0.18%),67.72,67.94,68.03,67.59,164,"04:24:21 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.6,-0.12 (-0.18%),67.72,67.94,68.03,67.59,164,"04:24:21 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.6,-0.12 (-0.18%),67.72,67.94,68.03,67.59,164,"04:24:21 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.6,-0.12 (-0.18%),67.72,67.94,68.03,67.59,164,"04:24:21 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.54,-0.18 (-0.27%),67.72,67.94,68.03,67.54,167,"05:11:11 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.54,-0.18 (-0.27%),67.72,67.94,68.03,67.54,167,"05:11:11 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.54,-0.18 (-0.27%),67.72,67.94,68.03,67.54,167,"05:11:11 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.54,-0.18 (-0.27%),67.72,67.94,68.03,67.54,167,"05:11:11 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.54,-0.18 (-0.27%),67.72,67.94,68.03,67.54,168,"05:52:56 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.43,-0.29 (-0.43%),67.72,67.94,68.03,67.41,172,"06:06:18 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.43,-0.29 (-0.43%),67.72,67.94,68.03,67.41,172,"06:06:18 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.43,-0.29 (-0.43%),67.72,67.94,68.03,67.41,174,"06:25:32 CT
16 Oct 2024"
"OCT 2025
CLV5",OPT,,67.43,-0.29 (-0.43%),67.72,67.94,68.03,67.41,174,"06:25:32 CT
16 Oct 2024"
