Month,Options,Chart,Last,Change,Prior Settle,Open,High,Low,Volume,Updated
"SEP 2025
CLU5",OPT,,67.95,+0.07 (+0.10%),-,68.12,68.21,67.95,155,"21:05:56 CT
15 Oct 2024"
"SEP 2025
CLU5",OPT,,67.97,+0.09 (+0.13%),-,68.12,68.21,67.95,157,"21:10:03 CT
15 Oct 2024"
"SEP 2025
CLU5",OPT,,67.97,+0.09 (+0.13%),-,68.12,68.21,67.95,157,"21:23:52 CT
15 Oct 2024"
"SEP 2025
CLU5",OPT,,67.98,+0.10 (+0.15%),-,68.12,68.21,67.95,158,"21:36:07 CT
15 Oct 2024"
"SEP 2025
CLU5",OPT,,67.98,+0.10 (+0.15%),-,68.12,68.21,67.95,158,"21:36:07 CT
15 Oct 2024"
"SEP 2025
CLU5",OPT,,67.98,+0.10 (+0.15%),-,68.12,68.21,67.95,158,"21:36:07 CT
15 Oct 2024"
"SEP 2025
CLU5",OPT,,67.98,+0.10 (+0.15%),-,68.12,68.21,67.95,158,"21:36:07 CT
15 Oct 2024"
"SEP 2025
CLU5",OPT,,67.97,+0.09 (+0.13%),-,68.12,68.21,67.95,167,"22:19:23 CT
15 Oct 2024"
"SEP 2025
CLU5",OPT,,67.97,+0.09 (+0.13%),-,68.12,68.21,67.95,167,"22:19:23 CT
15 Oct 2024"
"SEP 2025
CLU5",OPT,,67.97,+0.09 (+0.13%),-,68.12,68.21,67.95,168,"22:39:45 CT
15 Oct 2024"
"SEP 2025
CLU5",OPT,,67.97,+0.09 (+0.13%),-,68.12,68.21,67.95,168,"22:39:45 CT
15 Oct 2024"
"SEP 2025
CLU5",OPT,,67.97,+0.09 (+0.13%),-,68.12,68.21,67.95,168,"22:39:45 CT
15 Oct 2024"
"SEP 2025
CLU5",OPT,,67.97,+0.09 (+0.13%),-,68.12,68.21,67.95,168,"22:39:45 CT
15 Oct 2024"
"SEP 2025
CLU5",OPT,,67.97,+0.09 (+0.13%),-,68.12,68.21,67.95,168,"22:39:45 CT
15 Oct 2024"
"SEP 2025
CLU5",OPT,,67.97,+0.09 (+0.13%),-,68.12,68.21,67.95,168,"22:39:45 CT
15 Oct 2024"
"SEP 2025
CLU5",OPT,,67.97,+0.09 (+0.13%),-,68.12,68.21,67.95,168,"22:39:45 CT
15 Oct 2024"
"SEP 2025
CLU5",OPT,,67.97,+0.09 (+0.13%),-,68.12,68.21,67.95,168,"22:39:45 CT
15 Oct 2024"
"SEP 2025
CLU5",OPT,,67.97,+0.09 (+0.13%),-,68.12,68.21,67.95,168,"22:39:45 CT
15 Oct 2024"
"SEP 2025
CLU5",OPT,,67.97,+0.09 (+0.13%),-,68.12,68.21,67.95,168,"22:39:45 CT
15 Oct 2024"
"SEP 2025
CLU5",OPT,,67.97,+0.09 (+0.13%),67.88,68.12,68.21,67.95,170,"23:47:22 CT
15 Oct 2024"
"SEP 2025
CLU5",OPT,,67.97,+0.09 (+0.13%),67.88,68.12,68.21,67.95,170,"23:47:22 CT
15 Oct 2024"
"SEP 2025
CLU5",OPT,,67.97,+0.09 (+0.13%),67.88,68.12,68.21,67.95,171,"00:08:01 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.97,+0.09 (+0.13%),67.88,68.12,68.21,67.95,171,"00:08:01 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.97,+0.09 (+0.13%),67.88,68.12,68.21,67.95,172,"00:34:28 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.97,+0.09 (+0.13%),67.88,68.12,68.21,67.95,174,"00:42:31 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.97,+0.09 (+0.13%),67.88,68.12,68.21,67.95,174,"00:42:31 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.96,+0.08 (+0.12%),67.88,68.12,68.21,67.95,184,"01:05:22 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.96,+0.08 (+0.12%),67.88,68.12,68.21,67.95,186,"01:15:01 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.96,+0.08 (+0.12%),67.88,68.12,68.21,67.95,190,"01:22:58 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.96,+0.08 (+0.12%),67.88,68.12,68.21,67.95,194,"01:33:32 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.96,+0.08 (+0.12%),67.88,68.12,68.21,67.95,196,"01:45:04 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.96,+0.08 (+0.12%),67.88,68.12,68.21,67.95,197,"01:54:46 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.96,+0.08 (+0.12%),67.88,68.12,68.21,67.95,212,"02:04:12 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.96,+0.08 (+0.12%),67.88,68.12,68.21,67.95,240,"02:17:01 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.96,+0.08 (+0.12%),67.88,68.12,68.21,67.95,256,"02:28:10 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.96,+0.08 (+0.12%),67.88,68.12,68.21,67.95,286,"02:35:11 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.96,+0.08 (+0.12%),67.88,68.12,68.21,67.95,292,"02:46:43 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.96,+0.08 (+0.12%),67.88,68.12,68.21,67.95,306,"02:58:37 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,68.0,+0.12 (+0.18%),67.88,68.12,68.21,67.95,336,"03:08:33 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,68.0,+0.12 (+0.18%),67.88,68.12,68.21,67.95,362,"03:18:26 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,68.0,+0.12 (+0.18%),67.88,68.12,68.21,67.95,378,"03:27:01 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,68.0,+0.12 (+0.18%),67.88,68.12,68.21,67.95,382,"03:31:48 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.77,-0.11 (-0.16%),67.88,68.12,68.21,67.77,388,"03:48:59 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.77,-0.11 (-0.16%),67.88,68.12,68.21,67.77,390,"03:56:39 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.77,-0.11 (-0.16%),67.88,68.12,68.21,67.77,396,"04:10:12 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.77,-0.11 (-0.16%),67.88,68.12,68.21,67.77,407,"04:17:57 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.77,-0.11 (-0.16%),67.88,68.12,68.21,67.77,454,"04:28:04 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.77,-0.11 (-0.16%),67.88,68.12,68.21,67.77,464,"04:37:30 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.77,-0.11 (-0.16%),67.88,68.12,68.21,67.77,466,"04:52:44 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.77,-0.11 (-0.16%),67.88,68.12,68.21,67.77,474,"05:02:26 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.77,-0.11 (-0.16%),67.88,68.12,68.21,67.77,478,"05:11:26 CT
16 Oct 2024"
"SEP 2025
CLU5",OPT,,67.77,-0.11 (-0.16%),67.88,68.12,68.21,67.77,479,"05:16:40 CT
16 Oct 2024"
